"variable","Sin_transf","Log","Arcoseno"
"(Intercept)","1.19701***","1.30532***","1.52766***"
"extension","0.00004***","0.00008***","0.00004***"
"saber11_lectura_2022","-0.00638**","-0.01955***","-0.00691**"
"partos_calificados_2020","-0.00342**","-0.00593**","-0.00335**"
"dist_popayan_km","-0.00057***","-0.00130***","-0.00057***"
"dist_cali_km","0.00086***","0.00217***","0.00090***"
"pct_contributivo","-0.00416***","-0.01612***","-0.00478***"
"rural_disperso","-0.07570***","-0.23195***","-0.08543***"
"tiene_coca","-0.04585**","-0.13051**","-0.04836**"
"desplaz_tasa_1000","-0.00120**","-0.00329*","-0.00125*"
"categoria_617","-0.02147***","-0.09385***","-0.02498***"
